"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Ascomycota",0.075001913755548,0.231088704938856,0.0457118758914359,1.64075335551039,0.362643217212805,0.447290748039522,7,0.453453363756332,0.274,"Ascomycota","CC4_Control",0.362643217212805,0.447290748039522,"Control",-0.075001913755548
"Basidiomycota",0.0474103099092617,0.231088704938856,0.0437259629580459,1.08425993853471,0.139648829642522,0.190205964621953,1,0.778012341121292,0.626,"Basidiomycota","CC4_Control",0.139648829642522,0.190205964621953,"Control",-0.0474103099092617
"Blastocladiomycota",0.000142320191965846,0.231088704938856,0.000117655101208479,1.20963894046261,0.000719925900493997,0.000715807521878095,2,0.983172995432831,0.998,"Blastocladiomycota","CC4_Control",0.000719925900493997,0.000715807521878095,"AMF",0.000142320191965846
"Chytridiomycota",0.00212817292235853,0.231088704938856,0.00205476864036735,1.03572386717858,0.00887944448305202,0.00752372537036554,4,0.992382328805146,0.91,"Chytridiomycota","CC4_Control",0.00887944448305202,0.00752372537036554,"AMF",0.00212817292235853
"Cryptomycota",0.000254060317960392,0.231088704938856,0.000213556055706771,1.18966571619602,0.000942932068223373,0.000652138144543323,9,0.997257624480442,0.889,"Cryptomycota","CC4_Control",0.000942932068223373,0.000652138144543323,"AMF",0.000254060317960392
"Microsporidia",0.000177457395586279,0.231088704938856,0.000179988164897774,0.985939245989137,0.000276470388914959,0.000392619472721279,5,0.998357030520333,0.125,"Microsporidia","CC4_Control",0.000276470388914959,0.000392619472721279,"Control",-0.000177457395586279
"Mucoromycota",0.104787950580619,0.231088704938856,0.062755288403489,1.66978677409429,0.485053243406813,0.349612233525951,6,0.999124949470042,0.174,"Mucoromycota","CC4_Control",0.485053243406813,0.349612233525951,"AMF",0.104787950580619
"Olpidiomycota",5.98941017581074e-05,0.231088704938856,4.52812073276979e-05,1.32271432880879,0.000144410907963326,0.000174502506334111,3,0.999740817701263,0.656,"Olpidiomycota","CC4_Control",0.000144410907963326,0.000174502506334111,"Control",-5.98941017581074e-05
"Zoopagomycota",0.00112662576379818,0.231088704938856,0.00129748239173223,0.868316804125603,0.00169152598921246,0.00343226079673102,8,1,0.851,"Zoopagomycota","CC4_Control",0.00169152598921246,0.00343226079673102,"Control",-0.00112662576379818
"Ascomycota",0.0827693218047409,0.26603360519032,0.0499583571068937,1.65676628692259,0.331266657989832,0.447290748039522,7,0.450668689185197,0.056,"Ascomycota","Cuba8_Control",0.331266657989832,0.447290748039522,"Control",-0.0827693218047409
"Basidiomycota",0.0592816033136641,0.26603360519032,0.0454490977240344,1.30435159953274,0.125721073621167,0.190205964621953,1,0.761792247224145,0.065,"Basidiomycota","Cuba8_Control",0.125721073621167,0.190205964621953,"Control",-0.0592816033136641
"Blastocladiomycota",0.000226250150494528,0.26603360519032,0.000262582433280161,0.861634754725313,0.000875873006639987,0.000715807521878095,2,0.984627265646928,0.768,"Blastocladiomycota","Cuba8_Control",0.000875873006639987,0.000715807521878095,"AMF",0.000226250150494528
"Chytridiomycota",0.00219766550926953,0.26603360519032,0.0018250966987361,1.20413647714745,0.00581189395520263,0.00752372537036554,4,0.992888122419881,0.847,"Chytridiomycota","Cuba8_Control",0.00581189395520263,0.00752372537036554,"Control",-0.00219766550926953
"Cryptomycota",0.000262719078811225,0.26603360519032,0.000188016542145514,1.39731895828557,0.000807950216435697,0.000652138144543323,9,0.997315581069536,0.829,"Cryptomycota","Cuba8_Control",0.000807950216435697,0.000652138144543323,"AMF",0.000262719078811225
"Microsporidia",0.000162759783143052,0.26603360519032,0.000180450170604242,0.901965249453892,0.000190391579918479,0.000392619472721279,5,0.998303122018069,0.248,"Microsporidia","Cuba8_Control",0.000190391579918479,0.000392619472721279,"Control",-0.000162759783143052
"Mucoromycota",0.119893016130334,0.26603360519032,0.071993449116114,1.66533229901189,0.532402261061382,0.349612233525951,3,0.999153579050866,0.009,"Mucoromycota","Cuba8_Control",0.532402261061382,0.349612233525951,"AMF",0.119893016130334
"Olpidiomycota",6.24166334636228e-05,0.26603360519032,4.1922153085276e-05,1.4888699379695,0.000128935676124086,0.000174502506334111,6,0.999765380642724,0.574,"Olpidiomycota","Cuba8_Control",0.000128935676124086,0.000174502506334111,"Control",-6.24166334636228e-05
"Zoopagomycota",0.00117785278639898,0.26603360519032,0.00113794649094958,1.03506869239176,0.00279496289329845,0.00343226079673102,8,1,0.806,"Zoopagomycota","Cuba8_Control",0.00279496289329845,0.00343226079673102,"Control",-0.00117785278639898
"Ascomycota",0.0898695024842557,0.2694629605939,0.0640368891230652,1.40340206582405,0.341611695381889,0.447290748039522,7,0.436892004753737,0.007,"Ascomycota","DAOM197198_Control",0.341611695381889,0.447290748039522,"Control",-0.0898695024842557
"Basidiomycota",0.0555208882446583,0.2694629605939,0.0456901952192629,1.2151597947485,0.136213534772623,0.190205964621953,1,0.770405383684119,0.158,"Basidiomycota","DAOM197198_Control",0.136213534772623,0.190205964621953,"Control",-0.0555208882446583
"Blastocladiomycota",0.000635546815077983,0.2694629605939,0.00127693613344334,0.497712296200898,0.00174839760270985,0.000715807521878095,2,0.97644812930782,0.149,"Blastocladiomycota","DAOM197198_Control",0.00174839760270985,0.000715807521878095,"AMF",0.000635546815077983
"Chytridiomycota",0.00317774577960658,0.2694629605939,0.00236577290513553,1.34321674439185,0.0115648304654455,0.00752372537036554,4,0.98824101458082,0.04,"Chytridiomycota","DAOM197198_Control",0.0115648304654455,0.00752372537036554,"AMF",0.00317774577960658
"Cryptomycota",0.000326361569841891,0.2694629605939,0.000276647722251297,1.17970091055163,0.000940095230288498,0.000652138144543323,9,0.995538595921463,0.276,"Cryptomycota","DAOM197198_Control",0.000940095230288498,0.000652138144543323,"AMF",0.000326361569841891
"Microsporidia",0.000168071638423674,0.2694629605939,0.000189301943014548,0.887849515684884,9.9315598581655e-05,0.000392619472721279,3,0.997897164288993,0.196,"Microsporidia","DAOM197198_Control",9.9315598581655e-05,0.000392619472721279,"Control",-0.000168071638423674
"Mucoromycota",0.117726213060746,0.2694629605939,0.0909509038489376,1.29439299752623,0.502514682241483,0.349612233525951,5,0.999108319874617,0.012,"Mucoromycota","DAOM197198_Control",0.502514682241483,0.349612233525951,"AMF",0.117726213060746
"Olpidiomycota",7.22031280648848e-05,0.2694629605939,5.77900812863164e-05,1.24940346955319,0.00012442953199631,0.000174502506334111,6,0.999732048041387,0.258,"Olpidiomycota","DAOM197198_Control",0.00012442953199631,0.000174502506334111,"Control",-7.22031280648848e-05
"Zoopagomycota",0.00196642787322448,0.2694629605939,0.00173162072124913,1.13559964320938,0.00518301917498414,0.00343226079673102,8,1,0.012,"Zoopagomycota","DAOM197198_Control",0.00518301917498414,0.00343226079673102,"AMF",0.00196642787322448
