"AMF","Species","Present","Genus","Family","VTX_num","TaxLabel"
"CC4","VTX00056",FALSE,"Claroideoglomus","Claroideoglomeraceae",56,"Claroideoglomus VTX00056"
"CC4","VTX00085",FALSE,"Glomus","Glomeraceae",85,"Glomus VTX00085"
"CC4","VTX00089",FALSE,"Glomus","Glomeraceae",89,"Glomus VTX00089"
"CC4","VTX00135",FALSE,"Glomus","Glomeraceae",135,"Glomus VTX00135"
"CC4","VTX00183",FALSE,"Glomus","Glomeraceae",183,"Glomus VTX00183"
"CC4","VTX00191",FALSE,"Glomus","Glomeraceae",191,"Glomus VTX00191"
"CC4","VTX00212",FALSE,"Glomus","Glomeraceae",212,"Glomus VTX00212"
"CC4","VTX00231",FALSE,"Acaulospora","Acaulosporaceae",231,"Acaulospora VTX00231"
"CC4","VTX00310",FALSE,"Glomus","Glomeraceae",310,"Glomus VTX00310"
"CC4","VTX00398",FALSE,"Glomus","Glomeraceae",398,"Glomus VTX00398"
"CC4","VTX00435",FALSE,"Paraglomus","Paraglomeraceae",435,"Paraglomus VTX00435"
"CC4","VTX00437",FALSE,"Glomus","Glomeraceae",437,"Glomus VTX00437"
"Cuba8","VTX00056",FALSE,"Claroideoglomus","Claroideoglomeraceae",56,"Claroideoglomus VTX00056"
"Cuba8","VTX00085",FALSE,"Glomus","Glomeraceae",85,"Glomus VTX00085"
"Cuba8","VTX00089",FALSE,"Glomus","Glomeraceae",89,"Glomus VTX00089"
"Cuba8","VTX00108",FALSE,"Glomus","Glomeraceae",108,"Glomus VTX00108"
"Cuba8","VTX00135",FALSE,"Glomus","Glomeraceae",135,"Glomus VTX00135"
"Cuba8","VTX00183",FALSE,"Glomus","Glomeraceae",183,"Glomus VTX00183"
"Cuba8","VTX00191",FALSE,"Glomus","Glomeraceae",191,"Glomus VTX00191"
"Cuba8","VTX00212",FALSE,"Glomus","Glomeraceae",212,"Glomus VTX00212"
"Cuba8","VTX00216",FALSE,"Glomus","Glomeraceae",216,"Glomus VTX00216"
"Cuba8","VTX00231",FALSE,"Acaulospora","Acaulosporaceae",231,"Acaulospora VTX00231"
"Cuba8","VTX00312",FALSE,"Glomus","Glomeraceae",312,"Glomus VTX00312"
"Cuba8","VTX00360",FALSE,"Glomus","Glomeraceae",360,"Glomus VTX00360"
"Cuba8","VTX00398",FALSE,"Glomus","Glomeraceae",398,"Glomus VTX00398"
"Cuba8","VTX00435",FALSE,"Paraglomus","Paraglomeraceae",435,"Paraglomus VTX00435"
"Cuba8","VTX00437",FALSE,"Glomus","Glomeraceae",437,"Glomus VTX00437"
"DAOM197198","VTX00121",FALSE,"Glomus","Glomeraceae",121,"Glomus VTX00121"
"DAOM197198","VTX00183",FALSE,"Glomus","Glomeraceae",183,"Glomus VTX00183"
"DAOM197198","VTX00191",FALSE,"Glomus","Glomeraceae",191,"Glomus VTX00191"
"DAOM197198","VTX00212",FALSE,"Glomus","Glomeraceae",212,"Glomus VTX00212"
"DAOM197198","VTX00360",FALSE,"Glomus","Glomeraceae",360,"Glomus VTX00360"
"DAOM197198","VTX00398",FALSE,"Glomus","Glomeraceae",398,"Glomus VTX00398"
"DAOM197198","VTX00419",FALSE,"Glomus","Glomeraceae",419,"Glomus VTX00419"
