"Sample","AMF","Fert","Till","Metabarcoding","RNA_taxonomy"
"125","Control","High","No",44,79
"128","Control","High","Till",45,0
"139","Control","No","Till",48,0
"150","DAOM197198","High","Till",42,0
"158","DAOM197198","High","No",35,51
"16","DAOM197198","High","Till",38,0
"17","Control","No","No",57,77
"18","DAOM197198","No","No",46,65
"203","CC4","High","No",41,74
"210","DAOM197198","No","Till",40,0
"23","Control","No","Till",48,0
"235","DAOM197198","No","No",37,79
"240","DAOM197198","No","Till",47,0
"248","Cuba8","No","Till",43,0
"254","Cuba8","No","No",44,71
"260","Cuba8","No","Till",45,0
"261","CC4","No","No",42,63
"264","CC4","No","Till",39,0
"279","Cuba8","No","No",42,75
"286","DAOM197198","High","Till",40,0
"287","CC4","High","Till",49,0
"304","CC4","No","No",46,69
"308","Cuba8","No","Till",41,0
"309","CC4","High","No",42,69
"315","Cuba8","High","No",47,56
"320","Cuba8","High","Till",40,0
"8","Cuba8","High","No",48,59
"128","Control","High","Yes",0,82
"139","Control","No","Yes",0,80
"150","DAOM197198","High","Yes",0,71
"16","DAOM197198","High","Yes",0,9
"210","DAOM197198","No","Yes",0,44
"23","Control","No","Yes",0,73
"240","DAOM197198","No","Yes",0,63
"248","Cuba8","No","Yes",0,67
"260","Cuba8","No","Yes",0,72
"264","CC4","No","Yes",0,66
"286","DAOM197198","High","Yes",0,70
"287","CC4","High","Yes",0,65
"308","Cuba8","No","Yes",0,52
"320","Cuba8","High","Yes",0,54
