Sample,AMF,Fert,Till,total_abundance_Metabarcoding,total_abundance_RNA_taxonomy,richness_Metabarcoding,richness_RNA_taxonomy
104,DAOM197198,No,No,4363,0,45,0
117,Control,No,Till,4363,0,44,0
12,CC4,High,Till,4363,0,43,0
125,Control,High,No,4363,8398,44,79
128,Control,High,Till,4363,0,45,0
130,Control,No,No,4363,0,45,0
139,Control,No,Till,4363,0,48,0
140,DAOM197198,No,No,4363,0,38,0
143,Control,High,No,4363,0,48,0
150,DAOM197198,High,Till,4363,0,42,0
152,Control,High,Till,4363,0,51,0
157,CC4,No,No,4363,0,32,0
158,DAOM197198,High,No,4363,2484,35,51
16,DAOM197198,High,Till,4363,0,38,0
169,CC4,High,No,178,0,3,0
17,Control,No,No,4363,3846,57,77
18,DAOM197198,No,No,4363,4503,46,65
194,Cuba8,High,Till,4363,0,36,0
202,Cuba8,No,No,647,0,8,0
203,CC4,High,No,4363,8658,41,74
205,Cuba8,High,No,4363,0,9,0
210,DAOM197198,No,Till,4363,0,40,0
212,DAOM197198,High,Till,4363,0,13,0
219,Cuba8,No,Till,4363,0,28,0
229,CC4,High,Till,4363,0,18,0
23,Control,No,Till,4363,0,48,0
235,DAOM197198,No,No,4363,13452,37,79
236,DAOM197198,High,Till,4363,0,21,0
240,DAOM197198,No,Till,4363,0,47,0
245,CC4,No,No,1891,0,16,0
248,Cuba8,No,Till,4363,0,43,0
25,Control,High,Till,4363,0,47,0
252,CC4,No,Till,23,0,1,0
254,Cuba8,No,No,4363,6466,44,71
260,Cuba8,No,Till,4363,0,45,0
261,CC4,No,No,4363,2848,42,63
263,Cuba8,High,Till,4363,0,46,0
264,CC4,No,Till,4363,0,39,0
279,Cuba8,No,No,4363,7857,42,75
284,CC4,High,No,4363,0,38,0
286,DAOM197198,High,Till,4363,0,40,0
287,CC4,High,Till,4363,0,49,0
293,CC4,High,Till,94,0,4,0
295,DAOM197198,No,No,71,0,2,0
30,Control,High,No,4363,0,48,0
304,CC4,No,No,4363,6380,46,69
307,Cuba8,No,No,4363,0,52,0
308,Cuba8,No,Till,4363,0,41,0
309,CC4,High,No,4363,9236,42,69
315,Cuba8,High,No,4363,3807,47,56
320,Cuba8,High,Till,4363,0,40,0
33,Control,High,No,4363,0,35,0
40,DAOM197198,No,Till,4363,0,43,0
44,Cuba8,No,No,4363,0,15,0
50,CC4,High,Till,4363,0,44,0
52,Control,No,No,4363,0,18,0
55,Control,High,Till,4363,0,46,0
57,Control,No,Till,4363,0,40,0
59,CC4,No,Till,4363,0,41,0
65,Cuba8,No,Till,4363,0,36,0
71,Control,No,Till,4363,0,49,0
72,DAOM197198,High,No,4363,0,42,0
74,Control,No,No,4363,0,48,0
8,Cuba8,High,No,4363,2327,48,59
82,CC4,No,Till,4363,0,43,0
84,Control,High,No,4363,0,40,0
86,DAOM197198,No,Till,4363,0,23,0
88,CC4,High,No,4363,0,22,0
93,CC4,No,No,4363,0,39,0
95,Control,High,Till,4363,0,39,0
98,Control,No,No,4363,0,27,0
128,Control,High,Yes,0,17021,0,82
139,Control,No,Yes,0,9630,0,80
150,DAOM197198,High,Yes,0,5979,0,71
16,DAOM197198,High,Yes,0,90,0,9
210,DAOM197198,No,Yes,0,3961,0,44
23,Control,No,Yes,0,4258,0,73
240,DAOM197198,No,Yes,0,4967,0,63
248,Cuba8,No,Yes,0,6459,0,67
260,Cuba8,No,Yes,0,4985,0,72
264,CC4,No,Yes,0,3956,0,66
283,Cuba8,High,No,0,3898,0,62
286,DAOM197198,High,Yes,0,8113,0,70
287,CC4,High,Yes,0,4421,0,65
308,Cuba8,No,Yes,0,2740,0,52
312,CC4,High,Yes,0,1376,0,50
320,Cuba8,High,Yes,0,1670,0,54
5,DAOM197198,High,No,0,1017,0,32
7,Cuba8,High,Yes,0,2104,0,51
